Numéro de l'installation sportive;Nom de l'installation sportive;Adresse;Code Postal;Code INSEE (sans mise à jour);Commune (sans mise à jour);Commune INSEE;Commune Nom;Statut de la fiche d'enquête;Etat de la fiche d'enquête;Date de création de la fiche d'enquête;Date de changement d'état de la fiche d'enquête;Date de validation de la fiche d'enquête;Accessibilité de l'installation en faveur des personnes en situation de handicap;Date de l'enquête;Observation Installation;Accessibilité de l'installation en transport en commun;Installation particulière;Type de particularité de l'installation (brute);Type de particularité de l'installation;Accessibilité de l'installation en fonction du type handicap;Accessibilité de l'installation en transport en commun des différents mode;SIRET Installation;Unité Administrative Immatriculée (UAI);Installation hors-service;Numéro de l'équipement sportif;Nom de l'équipement sportif;Code du type d'équipement sportif;Type d'équipement sportif;Famille d'équipement sportif;Coordonnées;Etat de la fiche d'enquête de l'équipement sportif;Longitude (WGS84);Latitude (WGS84);Eclairage de l'aire d'évolution;Equipement d'accès libre;Aménagements de confort;Arrêté d'ouverture au public;Locaux complémentaires;Ouverture exclusivement saisonnière;Présence de douches;Présence de sanitaires;Gestion en DSP;Accessibilité aux personnes à mobilité réduite à l'accueil;Accessibilité aux personnes à mobilité réduite à l'aire de jeu;Accessibilité aux personnes à mobilité réduite aux cheminements;Accessibilité aux personnes à mobilité réduite aux douches;Accessibilité aux personnes à mobilité réduite aux sanitaires;Accessibilité aux personnes à mobilité réduite aux tribunes;Accessibilité aux personnes à mobilité réduite aux vestiaires;Accessibilité aux personnes en situation de handicap sensoriel à l'aire de jeu;Accessibilité aux personnes en situation de handicap sensoriel aux cheminements;Accessibilité aux personnes en situation de handicap sensoriel aux sanitaires;Accessibilité aux personnes en situation de handicap sensoriel - signalétique;Accessibilité aux personnes en situation de handicap sensoriel aux tribunes;Accessibilité aux personnes en situation de handicap sensoriel aux vestiaires;Date de l'homologation préfectorale;Date des derniers gros travaux;Catégorie ERP de l'établissement;Hauteur de l'aire d'évolution;Largeur de l'aire d'évolution;Longueur de l'aire d'évolution;Surface de l'aire d'évolution;Nombre de couloirs/pistes/postes/jeux/pas;Nombre de places assises en tribune;Nombre de vestiaires arbitres/enseignants;Nombre de vestiaires sportifs;SAE: nombre de couloirs de la structure;SAE: hauteur maximale de la structure;SAE: surface totale de la structure;Longueur du bassin;Largeur du bassin;Surface du bassin;Profondeur minimale du bassin;Profondeur maximale du bassin;Longueur de la piste;Adresse internet de l'équipement;Année de mise en service;Nom du propriétaire;Observation Equipement;Types d'aménagements de confort;Type d'ERP de l'établissement;Types de locaux complémentaires;Motifs des derniers gros travaux;Types de chauffage - source d'énergie;Type d'utilisation;Type de pas de tir;Nature du sol;Nature de l'équipement sportif;Période de mise en service;Période de l'homologation préfectorale;Période des derniers gros travaux;Type de propriétaire;Type de propriétaire secondaire;Type de gestionnaire;Type du co-gestionnaire;Equipement inscrit au PDESI / PDIPR;Identifiant RNB;Code APS associé;Nom APS associé;Donnée APS associée;EPCI INSEE;EPCI Nom;Bassin de vie Code;Bassin de vie Nom;Arrondissement Code;Arrondissement Nom;Département Code;Département Code Complet;Département Nom;Réctorat Nom;Région Code;Région Nom;Densite Niveau;Densite Catégorie;ZRR Simplifié;Catégorie
I010040001;Centre nautique Laure Manaudou;Avenue de Mering;01500;01004;Ambérieu-en-Bugey;01004;Ambérieu-en-Bugey;True;Validé;2005-12-07;2024-04-23;2024-04-23;true;2017-10-26;;false;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";;;;;E001I010040001;Bassin de 25m;102;Bassin sportif de natation;Bassin de natation;45.96155, 5.34428;validé;5.34428;45.96155;true;;true;true;true;false;;true;true;;true;;true;false;false;true;false;false;false;false;false;false;;;2.0;;;;;;400.0;0.0;2.0;;;;25.0;20.0;500.0;1.3;1.8;;http://www.piscine-amberieu.fr;2006;;;"[""Bain(s) de vapeur/Hammam"", ""Bain(s) Bouillonant(s)"", ""Sauna"", ""Solarium""]";"[""X""]";"[""Reception/accueil"", ""Bureau(x) club(s)"", ""Infirmierie"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";;"[""Fuel""]";"[""Individuel(s), famille(s)"", ""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Carrelage;Intérieur;A partir de 2005;;;EPCI;Commune;Etablissement privé commercial;;;EDFZZEQADNZF;"[""5206"", ""5201""]";Baignade loisirs,Natation course sportive;"[{""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Entrainement""}}]";240100883;CC de la Plaine de l'Ain;01004;Ambérieu-en-Bugey;011;Belley;1;01;Ain;Académie de Lyon;84;Auvergne-Rhône-Alpes;2;Centres urbains intermédiaires;NC - Commune non classée;structurant
I010330024;CENTRE AQUATIQUE VALSE'O;268 rue Antoine Jacquet;01200;01033;Valserhône;01033;Valserhône;True;Vérifié;2014-07-03;2019-11-25;2017-10-18;true;2017-10-17;;false;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";;;;;E001I010330024;Bassin 25m;102;Bassin sportif de natation;Bassin de natation;46.116626, 5.81572;validé;5.81572;46.116626;true;false;true;true;true;false;true;true;true;true;true;true;true;true;;true;true;true;true;true;;true;;;4.0;;;;;;;;1.0;;;;10.0;15.0;150.0;1.5;3.0;;;2012;;;"[""Bain(s) de vapeur/Hammam"", ""Sauna"", ""Solarium""]";"[""X""]";"[""Reception/accueil"", ""Local de rangement""]";;"[""Electricité"", ""Gaz""]";"[""Individuel(s), famille(s)"", ""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Carrelage;Intérieur;A partir de 2005;;;Commune;;Etablissement privé commercial;;;;"[""5201""]";Natation course sportive;"[{""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Compétition régionale""}}]";240100891;CC du Pays Bellegardien (CCPB);01033;Valserhône;014;Nantua;1;01;Ain;Académie de Lyon;84;Auvergne-Rhône-Alpes;2;Centres urbains intermédiaires;NC - Commune non classée;structurant
I010340011;PISCINE MUNICIPALE;Avenue Paul Chastel;01300;01034;Belley;01034;Belley;True;Validé;2012-01-02;2024-05-31;2024-05-31;false;2019-05-13;;true;true;"[""Piscine""]";Piscine;;;;;;E002I010340011;piscine grand bassin;102;Bassin sportif de natation;Bassin de natation;45.75875, 5.68152;validé;5.68152;45.75875;true;;false;true;true;false;;true;false;true;false;true;false;false;;false;false;false;false;false;;false;;;3.0;;;;;;0.0;0.0;6.0;;;;25.0;12.5;312.5;2.5;2.5;;www.belley.fr;;;;;"[""X""]";"[""Reception/accueil"", ""Club(s) house"", ""Infirmierie"", ""Local de rangement""]";;;"[""Individuel(s), famille(s)"", ""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Carrelage;Intérieur;1975-1984;;;EPCI;;EPCI;;;H893F856JZEJ;"[""2804"", ""5208"", ""5206"", ""5201""]";Plongée subaquatique (Plongée libre),Aquagym,Baignade loisirs,Natation course sportive;"[{""activite"": ""2804"", ""nom"": ""Plongée subaquatique (Plongée libre)"", ""discipline"": ""Etudes et sports sous-marins"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5208"", ""nom"": ""Aquagym"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Compétition régionale""}}]";200040350;CC Bugey Sud;01034;Belley;011;Belley;1;01;Ain;Académie de Lyon;84;Auvergne-Rhône-Alpes;3;Petites villes;NC - Commune non classée;structurant
I010530001;Institut de natation F. Chanel;36 Avenue du Maréchal Juin RN 75;01000;01053;Bourg-en-Bresse;01053;Bourg-en-Bresse;True;Validé;2005-11-21;2024-04-23;2024-04-23;true;2016-06-06;Parking en gravier. Pas de délimitation;false;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";"[""Bus""]";;;;E002I010530001;Bassin Principal;102;Bassin sportif de natation;Bassin de natation;46.18555, 5.24704;validé;5.24704;46.18555;true;false;false;true;true;false;true;true;false;false;false;false;false;false;;false;false;false;false;false;;false;;;5.0;;;;;;0.0;0.0;1.0;;;;20.0;7.5;150.0;1.3;1.3;;;1987;SCI;"Apprentissage de la natation.
1 vestiaire de 18 places";;"[""X""]";"[""Reception/accueil"", ""Bureau(x) club(s)"", ""Local de rangement""]";;"[""Gaz""]";"[""Individuel(s), famille(s)"", ""Autre - association(s) et groupes divers""]";;Carrelage;Intérieur;1985-1994;;;Etablissement privé commercial;Privé non commercial;Etablissement privé commercial;;;SMNWT3CB8ZKM;"[""5206""]";Baignade loisirs;"[{""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Non défini""}}]";200071751;CA du Bassin de Bourg-en-Bresse;01053;Bourg-en-Bresse;012;Bourg-en-Bresse;1;01;Ain;Académie de Lyon;84;Auvergne-Rhône-Alpes;2;Centres urbains intermédiaires;NC - Commune non classée;structurant
I010790001;COMPLEXE SPORTIF MUNICIPAL;Rue du Stade;01260;01079;Champagne-en-Valromey;01079;Champagne-en-Valromey;True;Validé;2005-07-05;2024-05-31;2024-05-31;true;2019-05-13;Stationnement possible;true;true;"[""Complexe sportif"", ""Piscine""]";Complexe sportif,Piscine;"[""Handicap moteur""]";;;;;E001I010790001;Bassin de 25 M;102;Bassin sportif de natation;Bassin de natation;45.90624070419082, 5.6790170073509225;validé;5.6790170073509225;45.90624070419082;false;;false;true;false;false;;true;false;true;true;true;true;true;;true;false;false;false;false;;false;;2009;5.0;;;;;;0.0;0.0;2.0;;;;25.0;12.5;312.5;1.4;1.4;;;1973;;Présence d'un autre bassin de 12,5 x 12,5 x 0,60;;"[""PA""]";;"[""Vétusté normale""]";;"[""Individuel(s), famille(s)"", ""Scolaires, universités""]";;Carrelage;Découvert;1965-1974;;A partir de 2005;Commune;;Commune;;;;"[""5206"", ""5206""]";Baignade loisirs,Baignade loisirs;"[{""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}]";200040350;CC Bugey Sud;01034;Belley;011;Belley;1;01;Ain;Académie de Lyon;84;Auvergne-Rhône-Alpes;6;Rural à habitat dispersé;NC - Commune non classée;structurant
I030840001;Complexe sportif de Clairval;2 route de cérilly;03430;03084;Cosne-d'Allier;03084;Cosne-d'Allier;True;Validé;2005-05-09;2024-05-30;2024-05-30;true;2010-12-08;Camping situé à l'intérieur du complexe.;true;true;"[""Complexe sportif"", ""Piscine""]";Complexe sportif,Piscine;"[""Handicap moteur""]";;;;;E009I030840001;PISCINE MUNICIPALE DE CLAIRVAL;102;Bassin sportif de natation;Bassin de natation;46.484719188514646, 2.8278744220733647;validé;2.8278744220733647;46.484719188514646;true;;false;;true;false;;true;false;true;false;true;true;true;false;true;false;false;false;false;false;false;;;4.0;;;;;;;;16.0;;;;25.0;10.0;250.0;1.2;2.0;;https://piscine-cosnedallier.weebly.com/;2011;COMMUNE DE COSNE-D'ALLIER;;;"[""X""]";"[""Infirmierie"", ""Reception/accueil"", ""Local de rangement""]";;"[""Gaz""]";"[""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers"", ""Individuel(s), famille(s)""]";;Carrelage;Découvrable;;;;Commune;;Commune;;;;"[""5201""]";Natation course sportive;"[{""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": , ""equip_aps_niveau"": }}]";200071512;CC Commentry Montmarault Néris Communauté;03185;Montluçon;031;Montluçon;3;03;Allier;Académie de Clermont-Ferrand;84;Auvergne-Rhône-Alpes;5;Bourgs ruraux;C - Classée en ZRR;structurant
I030840001;Complexe sportif de Clairval;2 route de cérilly;03430;03084;Cosne-d'Allier;03084;Cosne-d'Allier;True;Validé;2005-05-09;2024-05-30;2024-05-30;true;2010-12-08;Camping situé à l'intérieur du complexe.;true;true;"[""Complexe sportif"", ""Piscine""]";Complexe sportif,Piscine;"[""Handicap moteur""]";;;;;E011I030840001;PISCINE MUNICIPALE DE CLAIRVAL 2;102;Bassin sportif de natation;Bassin de natation;46.4848384320464, 2.828494012355805;validé;2.828494012355805;46.4848384320464;true;;false;;true;false;;true;false;true;false;true;true;true;false;true;false;false;false;false;false;false;;;4.0;;;;;;;;16.0;;;;25.0;10.0;250.0;1.2;2.0;;https://piscine-cosnedallier.weebly.com/;2011;COMMUNE DE COSNE-D'ALLIER;;;"[""X""]";"[""Infirmierie"", ""Reception/accueil"", ""Local de rangement""]";;"[""Gaz""]";"[""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers"", ""Individuel(s), famille(s)""]";;Carrelage;Découvrable;;;;Commune;;Commune;;;;"[""5201""]";Natation course sportive;"[{""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": , ""equip_aps_niveau"": }}]";200071512;CC Commentry Montmarault Néris Communauté;03185;Montluçon;031;Montluçon;3;03;Allier;Académie de Clermont-Ferrand;84;Auvergne-Rhône-Alpes;5;Bourgs ruraux;C - Classée en ZRR;structurant
I028100025;Piscine Intercommunale de Villers-Cotterêts;r alfred juneaux;02600;02810;Villers-Cotterêts;02810;Villers-Cotterêts;True;Validé;2019-07-25;2019-07-25;2019-07-25;true;2019-07-25;;true;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";"[""Bus""]";;;;E001I028100025;Bassin extérieur;102;Bassin sportif de natation;Bassin de natation;49.260142, 3.08732;validé;3.08732;49.260142;false;;true;true;true;true;;true;false;;true;true;true;true;false;true;false;;false;;false;false;;2017;3.0;;;;;;0.0;0.0;6.0;;;;25.0;12.5;312.5;0.9;2.5;;;1971;;Rénovation des vestiaires et sanitaires (acces PMR) + aménagements extérieurs 2017-2018;"[""Solarium""]";"[""X""]";"[""Reception/accueil"", ""Infirmierie"", ""Local de rangement"", ""Salle(s) de réunion/cours"", ""Autre""]";"[""Vétusté normale"", ""Inadaptation aux attentes des usagers""]";;"[""Individuel(s), famille(s)"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Béton;Découvert;;;;EPCI;;EPCI;;;;"[""5208"", ""5206"", ""5201""]";Aquagym,Baignade loisirs,Natation course sportive;"[{""activite"": ""5208"", ""nom"": ""Aquagym"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}, {""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Loisir - Entretien - Remise en forme""}}]";200071991;CC Retz-en-Valois;02810;Villers-Cotterêts;024;Soissons;2;02;Aisne;Académie d'Amiens;32;Hauts-de-France;2;Centres urbains intermédiaires;NC - Commune non classée;structurant
I147260010;Piscine de Valdallière;rte de lassy;14350;14726;Valdallière;14726;Valdallière;True;Validé;2005-05-17;2019-11-14;2019-11-14;true;2019-10-28;;true;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";"[""Bus""]";;;;E001I147260010;Bassin de natation;102;Bassin sportif de natation;Bassin de natation;48.85666, -0.673858;validé;-0.673858;48.85666;true;;false;false;true;false;;true;false;true;true;true;false;true;;true;false;false;false;false;;true;;;;;;;;;0.0;0.0;2.0;;;;16.0;7.0;112.0;0.7;2.0;;;1997;;;;;"[""Reception/accueil"", ""Bureau(x) club(s)"", ""Infirmierie"", ""Autre""]";;"[""Fuel""]";"[""Individuel(s), famille(s)"", ""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Carrelage;Intérieur;1995-2004;;;EPCI;;EPCI;Commune;;55AFCKMQW779;"[""5208""]";Aquagym;"[{""activite"": ""5208"", ""nom"": ""Aquagym"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Entrainement""}}]";200068799;CC Intercom de la Vire au Noireau;14762;Vire Normandie;144;Vire;14;14;Calvados;Académie de Normandie;28;Normandie;7;Rural à habitat très dispersé;C - Classée en ZRR;structurant
I030230002;Stade Aquatique;Les Chabannes Basses;03700;03023;Bellerive-sur-Allier;03023;Bellerive-sur-Allier;True;Validé;2009-07-28;2024-03-18;2024-03-18;true;2015-03-06;Restaurant privé accolé à l'installation: environ 60 couverts.;false;true;"[""Piscine""]";Piscine;"[""Handicap moteur""]";;;;;E001I030230002;Bassin de 25 m.;102;Bassin sportif de natation;Bassin de natation;46.12753, 3.3979;validé;3.3979;46.12753;true;false;true;true;true;false;true;true;false;;true;;;true;true;true;false;;true;;false;false;;;2.0;;;;;;368.0;8.0;8.0;;;;25.0;21.0;525.0;1.2;3.5;;;2008;Communauté d'Agglomération Vichy Val d'Allier;"Etape de championnat de France de sauvetage.
Meeting qualificatif national FFN.";"[""Bain(s) de vapeur/Hammam"", ""Bain(s) Bouillonant(s)"", ""Sauna"", ""Solarium"", ""Autre""]";"[""X""]";"[""Reception/accueil"", ""Bureau(x) club(s)"", ""Buvette"", ""Local contrôle anti-dopage"", ""Infirmierie"", ""Centre médico-sportif"", ""Local de rangement"", ""Salle(s) de réunion/cours""]";;"[""Electricité"", ""Gaz""]";"[""Individuel(s), famille(s)"", ""Clubs sportifs, comités, ligues, fédérations"", ""Scolaires, universités"", ""Autre - association(s) et groupes divers""]";;Métal;Intérieur;A partir de 2005;;;EPCI;;EPCI;;;CWGJ39ZVQDTH;"[""5206"", ""1704"", ""5201"", ""5202"", ""2804"", ""6701""]";Baignade loisirs,Kayak-polo,Natation course sportive,Natation synchronisée,Plongée subaquatique (Plongée libre),Sauvetage en eau plate;"[{""activite"": ""1704"", ""nom"": ""Kayak-polo"", ""discipline"": ""Canoë-kayak"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Entrainement""}}, {""activite"": ""2804"", ""nom"": ""Plongée subaquatique (Plongée libre)"", ""discipline"": ""Etudes et sports sous-marins"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Entrainement""}}, {""activite"": ""5206"", ""nom"": ""Baignade loisirs"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Non défini""}}, {""activite"": ""5201"", ""nom"": ""Natation course sportive"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Compétition nationale""}}, {""activite"": ""5202"", ""nom"": ""Natation synchronisée"", ""discipline"": ""Natation"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Compétition nationale""}}, {""activite"": ""6701"", ""nom"": ""Sauvetage en eau plate"", ""discipline"": ""Sauvetage et secourisme"", ""caracteristiques"": {""equip_aps_pratique"": [""Activité praticable"", ""Activité pratiquée""], ""equip_aps_niveau"": ""Entrainement""}}]";200071363;CA Vichy Communauté;03310;Vichy;033;Vichy;3;03;Allier;Académie de Clermont-Ferrand;84;Auvergne-Rhône-Alpes;4;Ceintures urbaines;NC - Commune non classée;structurant
